transaction_id,product_id,date,quantity,note,expiry_date
48,1,2023-12-16,252,Stok girişi,2024-01-15
49,1,2023-12-23,218,Stok girişi,2024-01-22
50,1,2023-12-29,278,Stok girişi,2024-01-28
51,1,2024-01-04,237,Stok girişi,2024-02-03
52,1,2024-01-11,224,Stok girişi,2024-02-10
53,1,2024-01-18,236,Stok girişi,2024-02-17
54,1,2024-01-24,239,Stok girişi,2024-02-23
55,1,2024-02-02,219,Stok girişi,2024-03-03
56,1,2024-02-10,237,Stok girişi,2024-03-11
57,1,2024-02-17,220,Stok girişi,2024-03-18
58,1,2024-02-25,193,Stok girişi,2024-03-26
59,1,2024-03-05,186,Stok girişi,2024-04-04
60,1,2024-03-13,207,Stok girişi,2024-04-12
61,1,2024-03-19,179,Stok girişi,2024-04-18
62,1,2024-03-25,183,Stok girişi,2024-04-24
63,1,2024-04-01,210,Stok girişi,2024-05-01
64,1,2024-04-08,237,Stok girişi,2024-05-08
65,1,2024-04-14,233,Stok girişi,2024-05-14
66,1,2024-04-22,196,Stok girişi,2024-05-22
67,1,2024-05-01,207,Stok girişi,2024-05-31
68,1,2024-05-09,195,Stok girişi,2024-06-08
69,1,2024-05-15,198,Stok girişi,2024-06-14
70,1,2024-05-23,213,Stok girişi,2024-06-22
71,1,2024-05-29,213,Stok girişi,2024-06-28
72,1,2024-06-05,175,Stok girişi,2024-07-05
73,1,2024-06-11,202,Stok girişi,2024-07-11
74,1,2024-06-18,176,Stok girişi,2024-07-18
75,1,2024-06-25,201,Stok girişi,2024-07-25
76,1,2024-07-02,177,Stok girişi,2024-08-01
77,1,2024-07-10,168,Stok girişi,2024-08-09
78,1,2024-07-18,188,Stok girişi,2024-08-17
79,1,2024-07-24,147,Stok girişi,2024-08-23
80,1,2024-08-02,184,Stok girişi,2024-09-01
81,1,2024-08-08,142,Stok girişi,2024-09-07
82,1,2024-08-15,174,Stok girişi,2024-09-14
83,1,2024-08-23,150,Stok girişi,2024-09-22
84,1,2024-09-01,191,Stok girişi,2024-10-01
85,1,2024-09-10,192,Stok girişi,2024-10-10
86,1,2024-09-16,164,Stok girişi,2024-10-16
87,1,2024-09-23,191,Stok girişi,2024-10-23
88,1,2024-10-01,215,Stok girişi,2024-10-31
89,1,2024-10-08,205,Stok girişi,2024-11-07
90,1,2024-10-14,197,Stok girişi,2024-11-13
91,1,2024-10-20,235,Stok girişi,2024-11-19
92,1,2024-10-27,221,Stok girişi,2024-11-26
93,1,2024-11-02,220,Stok girişi,2024-12-02
94,1,2024-11-11,263,Stok girişi,2024-12-11
95,1,2024-11-18,260,Stok girişi,2024-12-18
96,1,2024-11-25,256,Stok girişi,2024-12-25
97,1,2024-12-02,280,Stok girişi,2025-01-01
98,1,2024-12-08,227,Stok girişi,2025-01-07
99,1,2024-12-16,273,Stok girişi,2025-01-15
100,1,2024-12-25,274,Stok girişi,2025-01-24
101,2,2023-01-01,171,Stok girişi,2023-01-31
102,2,2023-01-07,178,Stok girişi,2023-02-06
103,2,2023-01-13,204,Stok girişi,2023-02-12
104,2,2023-01-20,168,Stok girişi,2023-02-19
105,2,2023-01-29,176,Stok girişi,2023-02-28
106,2,2023-02-05,154,Stok girişi,2023-03-07
107,2,2023-02-12,162,Stok girişi,2023-03-14
108,2,2023-02-20,186,Stok girişi,2023-03-22
109,2,2023-02-28,160,Stok girişi,2023-03-30
110,2,2023-03-09,177,Stok girişi,2023-04-08
111,2,2023-03-17,190,Stok girişi,2023-04-16
112,2,2023-03-23,187,Stok girişi,2023-04-22
113,2,2023-03-31,151,Stok girişi,2023-04-30
114,2,2023-04-08,144,Stok girişi,2023-05-08
115,2,2023-04-17,160,Stok girişi,2023-05-17
116,2,2023-04-25,164,Stok girişi,2023-05-25
117,2,2023-05-01,145,Stok girişi,2023-05-31
118,2,2023-05-08,140,Stok girişi,2023-06-07
119,2,2023-05-17,128,Stok girişi,2023-06-16
120,2,2023-05-24,145,Stok girişi,2023-06-23
121,2,2023-05-30,171,Stok girişi,2023-06-29
122,2,2023-06-07,156,Stok girişi,2023-07-07
123,2,2023-06-13,161,Stok girişi,2023-07-13
124,2,2023-06-21,151,Stok girişi,2023-07-21
125,2,2023-06-30,143,Stok girişi,2023-07-30
126,2,2023-07-08,136,Stok girişi,2023-08-07
127,2,2023-07-15,131,Stok girişi,2023-08-14
128,2,2023-07-24,141,Stok girişi,2023-08-23
129,2,2023-07-31,139,Stok girişi,2023-08-30
130,2,2023-08-08,130,Stok girişi,2023-09-07
131,2,2023-08-14,126,Stok girişi,2023-09-13
132,2,2023-08-21,131,Stok girişi,2023-09-20
133,2,2023-08-29,132,Stok girişi,2023-09-28
134,2,2023-09-07,159,Stok girişi,2023-10-07
135,2,2023-09-16,164,Stok girişi,2023-10-16
136,2,2023-09-23,158,Stok girişi,2023-10-23
137,2,2023-10-01,168,Stok girişi,2023-10-31
138,2,2023-10-09,147,Stok girişi,2023-11-08
139,2,2023-10-16,176,Stok girişi,2023-11-15
140,2,2023-10-23,183,Stok girişi,2023-11-22
141,2,2023-10-30,144,Stok girişi,2023-11-29
142,2,2023-11-06,211,Stok girişi,2023-12-06
143,2,2023-11-12,182,Stok girişi,2023-12-12
144,2,2023-11-19,196,Stok girişi,2023-12-19
145,2,2023-11-28,184,Stok girişi,2023-12-28
146,2,2023-12-05,180,Stok girişi,2024-01-04
147,2,2023-12-11,225,Stok girişi,2024-01-10
148,2,2023-12-17,218,Stok girişi,2024-01-16
149,2,2023-12-24,181,Stok girişi,2024-01-23
150,2,2024-01-02,159,Stok girişi,2024-02-01
151,2,2024-01-09,207,Stok girişi,2024-02-08
152,2,2024-01-15,182,Stok girişi,2024-02-14
153,2,2024-01-24,194,Stok girişi,2024-02-23
154,2,2024-02-01,190,Stok girişi,2024-03-02
155,2,2024-02-10,173,Stok girişi,2024-03-11
156,2,2024-02-19,184,Stok girişi,2024-03-20
157,2,2024-02-28,188,Stok girişi,2024-03-29
158,2,2024-03-08,165,Stok girişi,2024-04-07
159,2,2024-03-15,185,Stok girişi,2024-04-14
160,2,2024-03-23,181,Stok girişi,2024-04-22
161,2,2024-04-01,174,Stok girişi,2024-05-01
162,2,2024-04-09,164,Stok girişi,2024-05-09
163,2,2024-04-17,154,Stok girişi,2024-05-17
164,2,2024-04-25,158,Stok girişi,2024-05-25
165,2,2024-05-01,134,Stok girişi,2024-05-31
166,2,2024-05-08,145,Stok girişi,2024-06-07
167,2,2024-05-15,160,Stok girişi,2024-06-14
168,2,2024-05-21,147,Stok girişi,2024-06-20
169,2,2024-05-29,153,Stok girişi,2024-06-28
170,2,2024-06-07,131,Stok girişi,2024-07-07
171,2,2024-06-16,146,Stok girişi,2024-07-16
172,2,2024-06-22,167,Stok girişi,2024-07-22
173,2,2024-07-01,133,Stok girişi,2024-07-31
174,2,2024-07-09,126,Stok girişi,2024-08-08
175,2,2024-07-18,148,Stok girişi,2024-08-17
176,2,2024-07-27,135,Stok girişi,2024-08-26
177,2,2024-08-03,133,Stok girişi,2024-09-02
178,2,2024-08-11,131,Stok girişi,2024-09-10
179,2,2024-08-17,129,Stok girişi,2024-09-16
180,2,2024-08-26,143,Stok girişi,2024-09-25
181,2,2024-09-04,170,Stok girişi,2024-10-04
182,2,2024-09-10,169,Stok girişi,2024-10-10
183,2,2024-09-16,132,Stok girişi,2024-10-16
184,2,2024-09-25,134,Stok girişi,2024-10-25
185,2,2024-10-04,151,Stok girişi,2024-11-03
186,2,2024-10-12,161,Stok girişi,2024-11-11
187,2,2024-10-19,165,Stok girişi,2024-11-18
188,2,2024-10-27,181,Stok girişi,2024-11-26
189,2,2024-11-05,172,Stok girişi,2024-12-05
190,2,2024-11-14,171,Stok girişi,2024-12-14
191,2,2024-11-20,183,Stok girişi,2024-12-20
192,2,2024-11-26,212,Stok girişi,2024-12-26
193,2,2024-12-04,184,Stok girişi,2025-01-03
194,2,2024-12-10,218,Stok girişi,2025-01-09
195,2,2024-12-16,216,Stok girişi,2025-01-15
196,2,2024-12-23,183,Stok girişi,2025-01-22
197,2,2024-12-29,208,Stok girişi,2025-01-28
198,3,2023-01-01,109,Stok girişi,2023-04-01
199,3,2023-01-07,125,Stok girişi,2023-04-07
200,3,2023-01-14,121,Stok girişi,2023-04-14
201,3,2023-01-22,133,Stok girişi,2023-04-22
202,3,2023-01-29,127,Stok girişi,2023-04-29
203,3,2023-02-04,121,Stok girişi,2023-05-05
204,3,2023-02-11,127,Stok girişi,2023-05-12
205,3,2023-02-17,114,Stok girişi,2023-05-18
206,3,2023-02-25,114,Stok girişi,2023-05-26
207,3,2023-03-06,108,Stok girişi,2023-06-04
208,3,2023-03-13,97,Stok girişi,2023-06-11
209,3,2023-03-20,98,Stok girişi,2023-06-18
210,3,2023-03-28,123,Stok girişi,2023-06-26
211,3,2023-04-03,121,Stok girişi,2023-07-02
212,3,2023-04-09,106,Stok girişi,2023-07-08
213,3,2023-04-18,117,Stok girişi,2023-07-17
214,3,2023-04-24,112,Stok girişi,2023-07-23
215,3,2023-05-02,86,Stok girişi,2023-07-31
216,3,2023-05-11,110,Stok girişi,2023-08-09
217,3,2023-05-17,98,Stok girişi,2023-08-15
218,3,2023-05-25,104,Stok girişi,2023-08-23
219,3,2023-06-03,107,Stok girişi,2023-09-01
220,3,2023-06-12,91,Stok girişi,2023-09-10
221,3,2023-06-20,104,Stok girişi,2023-09-18
222,3,2023-06-29,99,Stok girişi,2023-09-27
223,3,2023-07-07,84,Stok girişi,2023-10-05
224,3,2023-07-14,98,Stok girişi,2023-10-12
225,3,2023-07-20,83,Stok girişi,2023-10-18
226,3,2023-07-29,82,Stok girişi,2023-10-27
227,3,2023-08-07,91,Stok girişi,2023-11-05
228,3,2023-08-16,85,Stok girişi,2023-11-14
229,3,2023-08-25,99,Stok girişi,2023-11-23
230,3,2023-09-01,100,Stok girişi,2023-11-30
231,3,2023-09-09,109,Stok girişi,2023-12-08
232,3,2023-09-17,94,Stok girişi,2023-12-16
233,3,2023-09-25,102,Stok girişi,2023-12-24
234,3,2023-10-02,98,Stok girişi,2023-12-31
235,3,2023-10-11,111,Stok girişi,2024-01-09
236,3,2023-10-18,118,Stok girişi,2024-01-16
237,3,2023-10-27,110,Stok girişi,2024-01-25
238,3,2023-11-02,108,Stok girişi,2024-01-31
239,3,2023-11-09,119,Stok girişi,2024-02-07
240,3,2023-11-16,116,Stok girişi,2024-02-14
241,3,2023-11-24,122,Stok girişi,2024-02-22
242,3,2023-12-02,131,Stok girişi,2024-03-01
243,3,2023-12-10,128,Stok girişi,2024-03-09
244,3,2023-12-19,125,Stok girişi,2024-03-18
245,3,2023-12-27,123,Stok girişi,2024-03-26
246,3,2024-01-03,116,Stok girişi,2024-04-02
247,3,2024-01-10,111,Stok girişi,2024-04-09
248,3,2024-01-19,114,Stok girişi,2024-04-18
249,3,2024-01-27,140,Stok girişi,2024-04-26
250,3,2024-02-03,105,Stok girişi,2024-05-03
251,3,2024-02-11,101,Stok girişi,2024-05-11
252,3,2024-02-17,118,Stok girişi,2024-05-17
253,3,2024-02-24,104,Stok girişi,2024-05-24
254,3,2024-03-01,113,Stok girişi,2024-05-30
255,3,2024-03-08,116,Stok girişi,2024-06-06
256,3,2024-03-17,98,Stok girişi,2024-06-15
257,3,2024-03-23,114,Stok girişi,2024-06-21
258,3,2024-04-01,111,Stok girişi,2024-06-30
259,3,2024-04-09,101,Stok girişi,2024-07-08
260,3,2024-04-15,103,Stok girişi,2024-07-14
261,3,2024-04-24,99,Stok girişi,2024-07-23
262,3,2024-04-30,108,Stok girişi,2024-07-29
263,3,2024-05-06,103,Stok girişi,2024-08-04
264,3,2024-05-12,90,Stok girişi,2024-08-10
265,3,2024-05-20,88,Stok girişi,2024-08-18
266,3,2024-05-27,89,Stok girişi,2024-08-25
267,3,2024-06-05,104,Stok girişi,2024-09-03
268,3,2024-06-12,109,Stok girişi,2024-09-10
269,3,2024-06-21,99,Stok girişi,2024-09-19
270,3,2024-06-30,94,Stok girişi,2024-09-28
271,3,2024-07-09,84,Stok girişi,2024-10-07
272,3,2024-07-15,92,Stok girişi,2024-10-13
273,3,2024-07-21,101,Stok girişi,2024-10-19
274,3,2024-07-28,92,Stok girişi,2024-10-26
275,3,2024-08-05,93,Stok girişi,2024-11-03
276,3,2024-08-12,82,Stok girişi,2024-11-10
277,3,2024-08-18,80,Stok girişi,2024-11-16
278,3,2024-08-27,88,Stok girişi,2024-11-25
279,3,2024-09-05,94,Stok girişi,2024-12-04
280,3,2024-09-12,94,Stok girişi,2024-12-11
281,3,2024-09-20,106,Stok girişi,2024-12-19
282,3,2024-09-29,87,Stok girişi,2024-12-28
283,3,2024-10-06,126,Stok girişi,2025-01-04
284,3,2024-10-13,109,Stok girişi,2025-01-11
285,3,2024-10-20,116,Stok girişi,2025-01-18
286,3,2024-10-28,122,Stok girişi,2025-01-26
287,3,2024-11-03,106,Stok girişi,2025-02-01
288,3,2024-11-11,126,Stok girişi,2025-02-09
289,3,2024-11-19,120,Stok girişi,2025-02-17
290,3,2024-11-28,130,Stok girişi,2025-02-26
291,3,2024-12-07,152,Stok girişi,2025-03-07
292,3,2024-12-16,131,Stok girişi,2025-03-16
293,3,2024-12-22,150,Stok girişi,2025-03-22
294,3,2024-12-30,138,Stok girişi,2025-03-30
295,4,2023-01-01,121,Stok girişi,2023-04-01
296,4,2023-01-07,159,Stok girişi,2023-04-07
297,4,2023-01-15,141,Stok girişi,2023-04-15
298,4,2023-01-22,137,Stok girişi,2023-04-22
299,4,2023-01-31,155,Stok girişi,2023-05-01
300,4,2023-02-07,144,Stok girişi,2023-05-08
301,4,2023-02-16,131,Stok girişi,2023-05-17
302,4,2023-02-25,143,Stok girişi,2023-05-26
303,4,2023-03-06,120,Stok girişi,2023-06-04
304,4,2023-03-14,119,Stok girişi,2023-06-12
305,4,2023-03-20,139,Stok girişi,2023-06-18
306,4,2023-03-28,122,Stok girişi,2023-06-26
307,4,2023-04-06,117,Stok girişi,2023-07-05
308,4,2023-04-15,137,Stok girişi,2023-07-14
309,4,2023-04-21,124,Stok girişi,2023-07-20
310,4,2023-04-29,116,Stok girişi,2023-07-28
311,4,2023-05-05,129,Stok girişi,2023-08-03
312,4,2023-05-14,125,Stok girişi,2023-08-12
313,4,2023-05-20,118,Stok girişi,2023-08-18
314,4,2023-05-29,110,Stok girişi,2023-08-27
315,4,2023-06-05,114,Stok girişi,2023-09-03
316,4,2023-06-14,117,Stok girişi,2023-09-12
317,4,2023-06-20,103,Stok girişi,2023-09-18
318,4,2023-06-27,127,Stok girişi,2023-09-25
319,4,2023-07-06,112,Stok girişi,2023-10-04
320,4,2023-07-15,89,Stok girişi,2023-10-13
321,4,2023-07-22,107,Stok girişi,2023-10-20
322,4,2023-07-30,102,Stok girişi,2023-10-28
323,4,2023-08-08,88,Stok girişi,2023-11-06
324,4,2023-08-14,99,Stok girişi,2023-11-12
325,4,2023-08-20,105,Stok girişi,2023-11-18
326,4,2023-08-27,100,Stok girişi,2023-11-25
327,4,2023-09-04,113,Stok girişi,2023-12-03
328,4,2023-09-12,110,Stok girişi,2023-12-11
329,4,2023-09-21,129,Stok girişi,2023-12-20
330,4,2023-09-28,111,Stok girişi,2023-12-27
331,4,2023-10-05,121,Stok girişi,2024-01-03
332,4,2023-10-12,139,Stok girişi,2024-01-10
333,4,2023-10-20,136,Stok girişi,2024-01-18
334,4,2023-10-29,119,Stok girişi,2024-01-27
335,4,2023-11-06,151,Stok girişi,2024-02-04
336,4,2023-11-14,147,Stok girişi,2024-02-12
337,4,2023-11-23,153,Stok girişi,2024-02-21
338,4,2023-12-02,152,Stok girişi,2024-03-01
339,4,2023-12-10,143,Stok girişi,2024-03-09
340,4,2023-12-19,149,Stok girişi,2024-03-18
341,4,2023-12-27,167,Stok girişi,2024-03-26
342,4,2024-01-03,141,Stok girişi,2024-04-02
343,4,2024-01-10,153,Stok girişi,2024-04-09
344,4,2024-01-19,119,Stok girişi,2024-04-18
345,4,2024-01-28,147,Stok girişi,2024-04-27
346,4,2024-02-06,121,Stok girişi,2024-05-06
347,4,2024-02-13,125,Stok girişi,2024-05-13
348,4,2024-02-19,111,Stok girişi,2024-05-19
349,4,2024-02-27,139,Stok girişi,2024-05-27
350,4,2024-03-07,110,Stok girişi,2024-06-05
351,4,2024-03-16,107,Stok girişi,2024-06-14
352,4,2024-03-23,122,Stok girişi,2024-06-21
353,4,2024-03-30,109,Stok girişi,2024-06-28
354,4,2024-04-07,119,Stok girişi,2024-07-06
355,4,2024-04-16,131,Stok girişi,2024-07-15
356,4,2024-04-24,139,Stok girişi,2024-07-23
357,4,2024-05-03,128,Stok girişi,2024-08-01
358,4,2024-05-12,126,Stok girişi,2024-08-10
359,4,2024-05-18,117,Stok girişi,2024-08-16
360,4,2024-05-25,117,Stok girişi,2024-08-23
361,4,2024-06-02,130,Stok girişi,2024-08-31
362,4,2024-06-08,111,Stok girişi,2024-09-06
363,4,2024-06-14,122,Stok girişi,2024-09-12
364,4,2024-06-20,111,Stok girişi,2024-09-18
365,4,2024-06-28,127,Stok girişi,2024-09-26
366,4,2024-07-04,95,Stok girişi,2024-10-02
367,4,2024-07-10,94,Stok girişi,2024-10-08
368,4,2024-07-18,98,Stok girişi,2024-10-16
369,4,2024-07-25,101,Stok girişi,2024-10-23
370,4,2024-08-01,90,Stok girişi,2024-10-30
371,4,2024-08-07,104,Stok girişi,2024-11-05
372,4,2024-08-16,104,Stok girişi,2024-11-14
373,4,2024-08-23,100,Stok girişi,2024-11-21
374,4,2024-08-30,92,Stok girişi,2024-11-28
375,4,2024-09-07,112,Stok girişi,2024-12-06
376,4,2024-09-13,126,Stok girişi,2024-12-12
377,4,2024-09-22,127,Stok girişi,2024-12-21
378,4,2024-09-29,98,Stok girişi,2024-12-28
379,4,2024-10-07,144,Stok girişi,2025-01-05
380,4,2024-10-15,131,Stok girişi,2025-01-13
381,4,2024-10-24,133,Stok girişi,2025-01-22
382,4,2024-11-02,152,Stok girişi,2025-01-31
383,4,2024-11-09,159,Stok girişi,2025-02-07
384,4,2024-11-18,122,Stok girişi,2025-02-16
385,4,2024-11-27,141,Stok girişi,2025-02-25
386,4,2024-12-05,173,Stok girişi,2025-03-05
387,4,2024-12-13,129,Stok girişi,2025-03-13
388,4,2024-12-22,140,Stok girişi,2025-03-22
389,4,2024-12-28,169,Stok girişi,2025-03-28
390,5,2023-01-01,237,Stok girişi,2023-01-31
391,5,2023-01-09,233,Stok girişi,2023-02-08
392,5,2023-01-16,222,Stok girişi,2023-02-15
393,5,2023-01-24,197,Stok girişi,2023-02-23
394,5,2023-01-31,223,Stok girişi,2023-03-02
395,5,2023-02-07,203,Stok girişi,2023-03-09
396,5,2023-02-13,184,Stok girişi,2023-03-15
397,5,2023-02-22,168,Stok girişi,2023-03-24
398,5,2023-03-02,209,Stok girişi,2023-04-01
399,5,2023-03-08,220,Stok girişi,2023-04-07
400,5,2023-03-16,210,Stok girişi,2023-04-15
401,5,2023-03-23,178,Stok girişi,2023-04-22
402,5,2023-03-31,197,Stok girişi,2023-04-30
403,5,2023-04-08,215,Stok girişi,2023-05-08
404,5,2023-04-16,220,Stok girişi,2023-05-16
405,5,2023-04-25,223,Stok girişi,2023-05-25
406,5,2023-05-03,189,Stok girişi,2023-06-02
407,5,2023-05-11,192,Stok girişi,2023-06-10
408,5,2023-05-20,200,Stok girişi,2023-06-19
409,5,2023-05-27,189,Stok girişi,2023-06-26
410,5,2023-06-03,195,Stok girişi,2023-07-03
411,5,2023-06-12,201,Stok girişi,2023-07-12
412,5,2023-06-20,154,Stok girişi,2023-07-20
413,5,2023-06-29,150,Stok girişi,2023-07-29
414,5,2023-07-05,154,Stok girişi,2023-08-04
415,5,2023-07-13,160,Stok girişi,2023-08-12
416,5,2023-07-21,138,Stok girişi,2023-08-20
417,5,2023-07-28,155,Stok girişi,2023-08-27
418,5,2023-08-05,176,Stok girişi,2023-09-04
419,5,2023-08-12,163,Stok girişi,2023-09-11
420,5,2023-08-21,176,Stok girişi,2023-09-20
421,5,2023-08-29,163,Stok girişi,2023-09-28
422,5,2023-09-04,157,Stok girişi,2023-10-04
423,5,2023-09-10,166,Stok girişi,2023-10-10
424,5,2023-09-19,156,Stok girişi,2023-10-19
425,5,2023-09-26,196,Stok girişi,2023-10-26
426,5,2023-10-03,189,Stok girişi,2023-11-02
427,5,2023-10-11,206,Stok girişi,2023-11-10
428,5,2023-10-20,201,Stok girişi,2023-11-19
429,5,2023-10-27,218,Stok girişi,2023-11-26
430,5,2023-11-02,237,Stok girişi,2023-12-02
431,5,2023-11-11,243,Stok girişi,2023-12-11
432,5,2023-11-19,185,Stok girişi,2023-12-19
433,5,2023-11-27,197,Stok girişi,2023-12-27
434,5,2023-12-06,266,Stok girişi,2024-01-05
435,5,2023-12-14,206,Stok girişi,2024-01-13
436,5,2023-12-22,238,Stok girişi,2024-01-21
437,5,2023-12-30,204,Stok girişi,2024-01-29
438,5,2024-01-07,195,Stok girişi,2024-02-06
439,5,2024-01-13,244,Stok girişi,2024-02-12
440,5,2024-01-22,189,Stok girişi,2024-02-21
441,5,2024-01-29,224,Stok girişi,2024-02-28
442,5,2024-02-04,169,Stok girişi,2024-03-05
443,5,2024-02-12,180,Stok girişi,2024-03-13
444,5,2024-02-19,212,Stok girişi,2024-03-20
445,5,2024-02-26,170,Stok girişi,2024-03-27
446,5,2024-03-04,201,Stok girişi,2024-04-03
447,5,2024-03-11,185,Stok girişi,2024-04-10
448,5,2024-03-18,212,Stok girişi,2024-04-17
449,5,2024-03-24,182,Stok girişi,2024-04-23
450,5,2024-03-31,224,Stok girişi,2024-04-30
451,5,2024-04-08,213,Stok girişi,2024-05-08
452,5,2024-04-14,205,Stok girişi,2024-05-14
453,5,2024-04-20,174,Stok girişi,2024-05-20
454,5,2024-04-28,213,Stok girişi,2024-05-28
455,5,2024-05-05,181,Stok girişi,2024-06-04
456,5,2024-05-11,159,Stok girişi,2024-06-10
457,5,2024-05-17,156,Stok girişi,2024-06-16
458,5,2024-05-26,177,Stok girişi,2024-06-25
459,5,2024-06-01,175,Stok girişi,2024-07-01
460,5,2024-06-09,177,Stok girişi,2024-07-09
461,5,2024-06-15,173,Stok girişi,2024-07-15
462,5,2024-06-22,199,Stok girişi,2024-07-22
463,5,2024-06-28,188,Stok girişi,2024-07-28
464,5,2024-07-06,154,Stok girişi,2024-08-05
465,5,2024-07-12,136,Stok girişi,2024-08-11
466,5,2024-07-21,173,Stok girişi,2024-08-20
467,5,2024-07-30,165,Stok girişi,2024-08-29
468,5,2024-08-08,166,Stok girişi,2024-09-07
469,5,2024-08-17,136,Stok girişi,2024-09-16
470,5,2024-08-23,148,Stok girişi,2024-09-22
471,5,2024-08-30,136,Stok girişi,2024-09-29
472,5,2024-09-07,182,Stok girişi,2024-10-07
473,5,2024-09-15,170,Stok girişi,2024-10-15
474,5,2024-09-23,173,Stok girişi,2024-10-23
475,5,2024-10-02,172,Stok girişi,2024-11-01
476,5,2024-10-08,216,Stok girişi,2024-11-07
477,5,2024-10-15,191,Stok girişi,2024-11-14
478,5,2024-10-22,190,Stok girişi,2024-11-21
479,5,2024-10-31,190,Stok girişi,2024-11-30
480,5,2024-11-06,203,Stok girişi,2024-12-06
481,5,2024-11-14,226,Stok girişi,2024-12-14
482,5,2024-11-22,244,Stok girişi,2024-12-22
483,5,2024-12-01,204,Stok girişi,2024-12-31
484,5,2024-12-07,206,Stok girişi,2025-01-06
485,5,2024-12-13,252,Stok girişi,2025-01-12
486,5,2024-12-21,257,Stok girişi,2025-01-20
487,5,2024-12-27,241,Stok girişi,2025-01-26
488,6,2023-01-01,97,Stok girişi,2023-03-02
489,6,2023-01-10,88,Stok girişi,2023-03-11
490,6,2023-01-19,102,Stok girişi,2023-03-20
491,6,2023-01-25,105,Stok girişi,2023-03-26
492,6,2023-02-02,80,Stok girişi,2023-04-03
493,6,2023-02-09,75,Stok girişi,2023-04-10
494,6,2023-02-18,77,Stok girişi,2023-04-19
495,6,2023-02-24,80,Stok girişi,2023-04-25
496,6,2023-03-04,74,Stok girişi,2023-05-03
497,6,2023-03-12,85,Stok girişi,2023-05-11
498,6,2023-03-21,92,Stok girişi,2023-05-20
499,6,2023-03-27,86,Stok girişi,2023-05-26
500,6,2023-04-04,72,Stok girişi,2023-06-03
501,6,2023-04-12,89,Stok girişi,2023-06-11
502,6,2023-04-20,94,Stok girişi,2023-06-19
503,6,2023-04-28,71,Stok girişi,2023-06-27
504,6,2023-05-05,77,Stok girişi,2023-07-04
505,6,2023-05-14,65,Stok girişi,2023-07-13
506,6,2023-05-20,66,Stok girişi,2023-07-19
507,6,2023-05-27,72,Stok girişi,2023-07-26
508,6,2023-06-05,71,Stok girişi,2023-08-04
509,6,2023-06-13,71,Stok girişi,2023-08-12
510,6,2023-06-21,81,Stok girişi,2023-08-20
511,6,2023-06-27,84,Stok girişi,2023-08-26
512,6,2023-07-04,60,Stok girişi,2023-09-02
513,6,2023-07-10,70,Stok girişi,2023-09-08
514,6,2023-07-18,66,Stok girişi,2023-09-16
515,6,2023-07-27,66,Stok girişi,2023-09-25
516,6,2023-08-05,65,Stok girişi,2023-10-04
